epoch,loss_G,loss_D,FID,KID,JSD,SSIM,PSNR,LPIPS
1,3.128188133,-6.18000412,,,,,,
2,3.138536453,-6.207093239,,,,,,
3,3.144478083,-6.213280678,,,,,,
4,3.18248415,-6.277036667,,,,,,
5,3.174054623,-6.273010731,443.5804507,0.647863686,0.525233173,0.005276379,5.58653704,1.052907467
6,3.153825998,-6.252004147,,,,,,
7,2.405533314,-5.516210556,,,,,,
8,2.413619041,-5.561486244,,,,,,
9,2.433523655,-5.616918564,,,,,,
10,2.432963848,-5.620429993,426.7349824,0.599994063,0.531121472,0.003608505,4.801372044,1.020545363
11,2.436224937,-5.629749298,,,,,,
12,2.434162617,-5.628881454,,,,,,
13,2.434863091,-5.629473209,,,,,,
14,2.43581295,-5.625436783,,,,,,
15,2.436235905,-5.634516716,449.0098697,0.625885665,0.534693135,0.003618923,4.8135715,1.015426159
16,2.436579704,-5.634181976,,,,,,
17,2.436594486,-5.627610207,,,,,,
18,2.436706305,-5.636039734,,,,,,
19,2.437013626,-5.631471634,,,,,,
20,2.436874866,-5.634447575,411.850294,0.584164202,0.53254684,0.003826511,4.962984233,0.990164042
21,2.437220335,-5.632256508,,,,,,
22,2.436672688,-5.636521339,,,,,,
23,2.437994003,-5.640069962,,,,,,
24,2.437615395,-5.640221119,,,,,,
25,2.437660217,-5.641512394,397.9635211,0.553566098,0.537474399,0.003301608,4.859336939,0.966809154
26,2.438168287,-5.640241623,,,,,,
27,2.437989235,-5.642160892,,,,,,
28,2.667030096,-5.784206867,,,,,,
29,2.528789043,-5.712164402,,,,,,
30,2.459975719,-5.644209862,375.6076574,0.501242995,0.534386823,0.005507294,4.941600407,0.983410835
31,2.447712898,-5.642483234,,,,,,
32,2.441529274,-5.642401695,,,,,,
33,2.440562725,-5.643214703,,,,,,
34,2.442838669,-5.649518013,,,,,,
35,2.442906141,-5.64973259,374.3386194,0.50808847,0.533948098,0.005430118,4.942877629,0.987816036
36,2.44400239,-5.646904945,,,,,,
37,2.44342947,-5.651762009,,,,,,
38,2.443354607,-5.650001526,,,,,,
39,2.443515301,-5.651686668,,,,,,
40,2.443665028,-5.649819851,381.123034,0.508267105,0.53395234,0.005479409,4.940766522,0.994995534
41,2.44358778,-5.648235321,,,,,,
42,2.444218636,-5.653203011,,,,,,
43,2.44435215,-5.655126572,,,,,,
44,2.444474697,-5.655087471,,,,,,
45,2.444137335,-5.650901794,372.538835,0.505992174,0.540859055,0.005544163,4.939379027,0.996274114
46,2.444401741,-5.653969765,,,,,,
47,2.443958521,-5.653654575,,,,,,
48,2.444238186,-5.65249157,,,,,,
49,2.443634272,-5.655643463,,,,,,
50,2.443267345,-5.65381813,410.1232072,0.575832188,0.53983048,0.011424657,5.564409138,0.960031092
51,2.443359137,-5.65171814,,,,,,
52,2.439068079,-5.648807526,,,,,,
53,2.443666458,-5.653711319,,,,,,
54,2.448759317,-5.656831741,,,,,,
55,2.445030689,-5.651949883,410.8844848,0.573598921,0.525815781,0.012851451,5.900053199,1.014381766
56,2.444711685,-5.653077126,,,,,,
57,2.443852663,-5.652375221,,,,,,
58,2.443985701,-5.655193329,,,,,,
59,2.443912983,-5.657038689,,,,,,
60,2.443692207,-5.653496742,416.7475888,0.578506052,0.531333409,0.013702745,5.90120588,1.00660646
61,2.443694353,-5.656928062,,,,,,
62,2.443883419,-5.651940346,,,,,,
63,2.443951845,-5.654156685,,,,,,
64,2.444782734,-5.655901432,,,,,,
65,2.44392252,-5.65281105,415.0222289,0.574994564,0.530491726,0.015396884,5.944890709,1.00839448
66,2.444573879,-5.657068729,,,,,,
67,2.442170143,-5.653004169,,,,,,
68,2.444400549,-5.65491581,,,,,,
69,2.443835735,-5.656344414,,,,,,
70,2.44392395,-5.656141281,422.3898769,0.575431049,0.533100787,0.014142136,5.926828823,0.962343633
71,2.444274902,-5.657287598,,,,,,
72,2.444367886,-5.657547474,,,,,,
73,2.444002151,-5.656718254,,,,,,
74,2.444501877,-5.659093857,,,,,,
75,2.444678545,-5.654531479,449.555911,0.634193599,0.531693504,0.024323325,6.283594563,0.946132362
76,2.443859577,-5.655409336,,,,,,
77,2.444514275,-5.656986237,,,,,,
78,2.444497108,-5.656956673,,,,,,
79,2.444026947,-5.655771732,,,,,,
80,2.444161654,-5.65572834,454.9213492,0.638736665,0.528927898,0.027093669,6.751337373,0.948480904
81,2.444924831,-5.657420635,,,,,,
82,2.44409585,-5.656801224,,,,,,
83,2.444522381,-5.657446861,,,,,,
84,2.443824768,-5.656910896,,,,,,
85,2.444366932,-5.657838821,406.1443292,0.521232069,0.529153318,0.028856515,7.169938409,0.889516354
86,2.444093704,-5.655403137,,,,,,
87,2.444621086,-5.657045364,,,,,,
88,2.444238186,-5.654491425,,,,,,
89,2.441744804,-5.646332741,,,,,,
90,2.438078403,-5.646287918,350.7971806,0.419464767,0.537245467,0.058893432,9.285844658,0.763418913
91,2.442392349,-5.653856277,,,,,,
92,1.963629007,-4.671208382,,,,,,
93,1.563229561,-5.155895233,,,,,,
94,2.452069759,-5.652679443,,,,,,
95,2.453944683,-5.655957222,367.7210946,0.480311781,0.543859354,0.03388426,12.66206044,0.743589401
96,2.666629553,-5.850550175,,,,,,
97,2.453481674,-5.648463726,,,,,,
98,2.457952976,-5.661137581,,,,,,
99,2.454084635,-5.658129692,,,,,,
100,2.477077007,-5.670360088,389.7415088,0.507017434,0.550987723,0.036397866,11.69355373,0.811222315
101,2.475041866,-5.680559158,,,,,,
102,2.44304204,-5.656780243,,,,,,
103,2.448646545,-5.654222488,,,,,,
104,2.448677063,-5.657295704,,,,,,
105,2.445533037,-5.657620907,383.0567779,0.488280088,0.552134192,0.035560653,11.82614483,0.806698918
106,2.445019245,-5.658784866,,,,,,
107,2.444827557,-5.658970833,,,,,,
108,2.445581913,-5.65779686,,,,,,
109,2.44644928,-5.656260967,,,,,,
110,2.445279121,-5.658727169,380.9210242,0.482813209,0.551476807,0.040490024,11.95151046,0.794929743
111,2.445851326,-5.656770706,,,,,,
112,2.446376801,-5.65970993,,,,,,
113,2.44591713,-5.659796715,,,,,,
114,2.445226192,-5.658070564,,,,,,
