epoch,loss_G,loss_D,FID,KID,JSD,SSIM,PSNR,LPIPS
1,6.386080742,-12.65634346,,,,,,
2,6.382026672,-12.66576385,,,,,,
3,6.396378517,-12.70041084,,,,,,
4,4.91782999,-11.2487812,,,,,,
5,4.940785408,-11.330966,407.9945624,0.56014359,0.528282491,0.010932294,8.000483497,1.246242762
6,4.94354248,-11.35411263,,,,,,
7,4.945649624,-11.3581543,,,,,,
8,4.952194214,-11.37410736,,,,,,
9,4.946563244,-11.35519028,,,,,,
10,4.966515064,-11.38209534,379.6409142,0.458193123,0.533103455,0.056688419,9.738152409,0.760538697
11,4.954225063,-11.29682541,,,,,,
12,4.966362,-11.38417053,,,,,,
13,4.970903397,-11.37672806,,,,,,
14,4.974750519,-11.3864994,,,,,,
15,4.972078323,-11.37046432,389.4111778,0.563344717,0.554335287,0.048786951,11.64412287,0.643669724
16,4.973744392,-11.36277199,,,,,,
17,4.940076828,-11.329669,,,,,,
18,4.979005814,-11.3731823,,,,,,
19,4.969717979,-11.37496567,,,,,,
20,4.967226982,-11.35516071,342.4112617,0.418256879,0.544727637,0.056415474,12.43765255,0.671194911
21,4.958825111,-11.34639454,,,,,,
22,4.962656021,-11.36075401,,,,,,
23,4.963054657,-11.36320496,,,,,,
24,5.231433868,-11.6178112,,,,,,
25,4.962392807,-11.34988785,346.4700458,0.383297324,0.589136225,0.120252852,12.2056415,0.571750283
26,4.969331264,-11.38484573,,,,,,
27,4.968550205,-11.37313843,,,,,,
28,5.02128315,-11.40714359,,,,,,
29,4.967874527,-11.38358307,,,,,,
30,4.968337059,-11.38242912,276.6001947,0.262117177,0.658186384,0.189662717,10.46781363,0.588379025
31,4.969225883,-11.3823204,,,,,,
32,4.97518158,-11.39209747,,,,,,
33,4.943626881,-11.28386879,,,,,,
34,4.969138622,-11.39473057,,,,,,
35,4.966035843,-11.3884964,231.3626369,0.248816743,0.600181969,0.137770357,12.16339123,0.549474359
36,4.980237961,-11.39729309,,,,,,
37,4.971006393,-11.38936424,,,,,,
38,4.980553627,-11.39330101,,,,,,
39,4.978497982,-11.37489414,,,,,,
40,4.973872662,-11.40660858,379.3739818,0.417657197,0.562253036,0.091578546,10.4769994,0.673585951
41,4.976247311,-11.39631939,,,,,,
42,4.972022057,-11.37186909,,,,,,
43,4.978497982,-11.39601231,,,,,,
44,5.073694706,-11.44654083,,,,,,
45,4.976359367,-11.40005302,224.9693265,0.185513973,0.627092435,0.168892996,11.80170735,0.586087823
46,4.974076271,-11.38785744,,,,,,
47,5.000695705,-11.18480682,,,,,,
48,5.005675316,-11.43092155,,,,,,
49,4.978280067,-11.39757729,,,,,,
50,4.972437859,-11.39626503,314.6655668,0.308290005,0.56008446,0.092445124,12.53716458,0.591893077
51,4.975189209,-11.40227222,,,,,,
52,5.010126591,-11.43470192,,,,,,
53,4.983654976,-11.41082191,,,,,,
54,4.980032444,-11.40705872,,,,,,
55,4.979488373,-11.4029808,300.0750442,0.306151211,0.555796919,0.105684649,13.37664107,0.600292444
56,4.979701042,-11.40657997,,,,,,
57,4.995136738,-11.40805435,,,,,,
58,4.977018356,-11.4059763,,,,,,
59,4.980377197,-11.40177345,,,,,,
60,4.971694469,-11.39629269,178.4685335,0.132788882,0.603806007,0.141916525,11.64178176,0.542241454
61,4.975063801,-11.40076065,,,,,,
62,4.971485138,-11.39899254,,,,,,
63,4.968643188,-11.38138771,,,,,,
64,5.009815216,-11.42107391,,,,,,
65,4.976491928,-11.40229416,252.911286,0.252621263,0.553817762,0.113766,13.17003944,0.545676529
66,4.970351219,-11.39834023,,,,,,
67,4.973346233,-11.40681267,,,,,,
68,4.994994164,-11.42146111,,,,,,
69,4.973474503,-11.4042778,,,,,,
70,4.974374771,-11.39679432,218.7929972,0.169659689,0.584063422,0.10061522,12.04751634,0.529779971
71,4.972831249,-11.40006256,,,,,,
72,4.980092525,-11.40027046,,,,,,
73,4.973549843,-11.40095043,,,,,,
74,4.976308346,-11.40022469,,,,,,
75,4.950826645,-11.25575542,198.9709956,0.162332505,0.610437996,0.176080661,12.1743944,0.52214098
76,4.999711037,-11.43108368,,,,,,
77,4.975895882,-11.40402126,,,,,,
78,4.976179123,-11.3965168,,,,,,
79,4.975389004,-11.40422726,,,,,,
80,4.990323067,-11.42303085,197.2412396,0.14244163,0.642479914,0.203926323,11.20992464,0.545620322
81,5.028618813,-11.42227554,,,,,,
82,4.958806038,-11.36034584,,,,,,
83,4.976126194,-11.40017796,,,,,,
84,4.98724556,-11.40851307,,,,,,
85,4.974098206,-11.39955425,199.0194508,0.142237306,0.588243613,0.113010236,11.7768824,0.524939775
86,4.983103275,-11.40344048,,,,,,
87,5.036387444,-11.47940254,,,,,,
88,4.98059845,-11.40756798,,,,,,
89,4.962852478,-11.37798309,,,,,,
90,4.975265026,-11.38158417,230.9583508,0.17387411,0.628537672,0.172967495,11.47528935,0.546436667
91,4.973451138,-11.40239334,,,,,,
92,0.070837274,-5.353361607,,,,,,
93,4.98425436,-11.41672134,,,,,,
94,4.977453232,-11.40548897,,,,,,
95,4.967794895,-11.4077282,275.6770769,0.24159655,0.655195106,0.205143853,11.03295717,0.563434005
96,4.967991829,-11.3837471,,,,,,
97,4.975535393,-11.40592384,,,,,,
98,4.975375175,-11.40200806,,,,,,
99,4.976361275,-11.40393448,,,,,,
100,4.975852966,-11.40402031,201.719185,0.147652104,0.58327397,0.127583316,11.69546622,0.516128182
101,4.978020191,-11.39889145,,,,,,
102,4.975156784,-11.40783119,,,,,,
103,2.97750783,-10.84655571,,,,,,
104,4.975348949,-11.40805721,,,,,,
105,4.970285416,-11.39953136,177.3467473,0.133273095,0.619291562,0.174238607,12.23034246,0.517612219
106,4.972632408,-11.4094429,,,,,,
107,4.976102352,-11.40741062,,,,,,
108,4.972210407,-11.40270042,,,,,,
109,5.017124176,-11.4307127,,,,,,
110,4.972494125,-11.4002018,198.3160973,0.15791443,0.623547911,0.162852441,11.54133028,0.515345454
111,4.97615099,-11.4067812,,,,,,
112,4.972349167,-11.40699482,,,,,,
113,4.973668575,-11.40711117,,,,,,
114,4.979126453,-11.4000206,,,,,,
115,4.973056793,-11.40821171,177.5284219,0.144626856,0.620421697,0.15788454,11.84952141,0.52070576
116,4.975215912,-11.40617561,,,,,,
117,4.980477333,-11.40559196,,,,,,
118,4.975951195,-11.40421677,,,,,,
119,4.973252296,-11.40774155,,,,,,
120,4.973258972,-11.41020012,286.1823504,0.274758816,0.544889455,0.082692749,11.72211894,0.571002483
121,4.979565144,-11.41795349,,,,,,
122,4.973086357,-11.40310287,,,,,,
123,4.974669456,-11.39714336,,,,,,
124,4.982437611,-11.38545036,,,,,,
125,4.975568295,-11.40495491,183.1476396,0.152316287,0.610180105,0.134082431,12.27477824,0.521910846
126,4.982727528,-11.41042137,,,,,,
127,4.979143143,-11.40254211,,,,,,
128,4.96709156,-11.38333893,,,,,,
129,4.982841969,-11.41236877,,,,,,
130,4.966207981,-11.40198517,166.1931371,0.137047708,0.601510994,0.140403575,12.68450044,0.524022579
131,4.974440575,-11.40488052,,,,,,
132,4.973856926,-11.41051865,,,,,,
133,4.979568481,-11.41128254,,,,,,
134,4.973595619,-11.409338,,,,,,
135,4.975336552,-11.41078186,207.450947,0.153621271,0.605579446,0.131931605,11.71448994,0.518642426
136,4.971666813,-11.41046715,,,,,,
137,4.98896122,-11.41821289,,,,,,
138,4.975317001,-11.40150261,,,,,,
139,4.979578972,-11.41013908,,,,,,
140,4.974817753,-11.41070747,196.6379091,0.187149942,0.600475797,0.111065368,12.50207845,0.517984033
141,4.984824181,-11.41197777,,,,,,
142,4.825903893,-10.94829082,,,,,,
143,4.97729969,-11.40663719,,,,,,
144,4.981575489,-11.41197586,,,,,,
145,4.97811079,-11.40896034,218.0227532,0.164420754,0.632271896,0.19255688,11.7533335,0.535500765
146,2.312792778,-3.065966606,,,,,,
147,4.91312027,-11.17983055,,,,,,
148,4.981909752,-11.40906239,,,,,,
149,4.981604576,-11.4145565,,,,,,
150,4.979837418,-11.40930557,208.4236883,0.166396677,0.596747983,0.124568695,11.70631385,0.515807629
151,4.977292538,-11.40488243,,,,,,
152,4.976019859,-11.40841675,,,,,,
153,4.979012012,-11.41159248,,,,,,
154,4.979238033,-11.40588951,,,,,,
155,4.977601528,-11.40796852,187.5301342,0.139633149,0.62980251,0.16861396,11.87464607,0.53156209
156,4.978320122,-11.40702724,,,,,,
157,4.979265213,-11.40836906,,,,,,
158,4.978652,-11.41098022,,,,,,
159,4.977572918,-11.41356564,,,,,,
160,4.975348473,-11.40991402,188.0540739,0.136571556,0.629763183,0.1841136,11.50202401,0.521673501
161,4.97719574,-11.40143394,,,,,,
162,4.981166363,-11.40150356,,,,,,
163,4.979426384,-11.411973,,,,,,
164,4.977824211,-11.41361618,,,,,,
165,4.983129501,-11.40486908,166.8009004,0.119410016,0.62128845,0.186541312,12.43910606,0.513042092
166,4.977621078,-11.41114235,,,,,,
167,4.976951599,-11.41189194,,,,,,
168,4.970486641,-11.40499973,,,,,,
169,4.980755806,-11.41025543,,,,,,
170,4.976577759,-11.4089756,297.1345068,0.295636743,0.55468375,0.082126229,12.38750889,0.562163115
171,4.977956772,-11.41651535,,,,,,
172,4.979125023,-11.40754509,,,,,,
173,4.988986969,-11.4233532,,,,,,
174,4.977709293,-11.40996742,,,,,,
175,4.976727962,-11.41049671,173.6179936,0.114050597,0.622420395,0.163999733,12.47046722,0.516340435
176,5.019783974,-11.45906734,,,,,,
177,4.990087509,-11.42448235,,,,,,
178,5.007900715,-11.42055702,,,,,,
179,4.956455231,-11.37364197,,,,,,
180,4.974273682,-11.40720654,202.2961128,0.145917177,0.602093474,0.119185146,11.73205575,0.513751209
181,4.974528313,-11.40586472,,,,,,
182,4.982255459,-11.39241409,,,,,,
183,4.97751236,-11.41506672,,,,,,
184,4.979188919,-11.41431046,,,,,,
185,4.967643738,-11.38076591,230.9397377,0.160658062,0.615695495,0.153659874,11.62426942,0.536992729
186,4.97748518,-11.41309738,,,,,,
187,4.978837967,-11.41322708,,,,,,
188,4.976376534,-11.40908051,,,,,,
189,4.976060867,-11.40652275,,,,,,
190,4.979282379,-11.41052341,197.0653217,0.128082156,0.617193922,0.169074325,12.32253478,0.515683353
191,4.977299213,-11.41134453,,,,,,
192,4.976711273,-11.41123009,,,,,,
193,4.977955818,-11.40089893,,,,,,
194,5.008740902,-11.37340546,,,,,,
195,4.981854439,-11.400383,199.8105235,0.143262148,0.616231393,0.167153676,12.0088207,0.514975727
196,4.977359295,-11.41134453,,,,,,
197,4.976106644,-11.41261292,,,,,,
198,4.975746632,-11.40753746,,,,,,
199,4.984752655,-11.41675949,,,,,,
200,4.976965904,-11.40752602,198.8245925,0.149127632,0.604362708,0.156263234,12.32244979,0.510780692
201,4.973326683,-11.40148544,,,,,,
202,4.975576401,-11.40989304,,,,,,
203,4.977888584,-11.41479683,,,,,,
204,4.978113174,-11.41152191,,,,,,
205,4.976360321,-11.41268826,195.6586709,0.155833304,0.627673079,0.153676565,12.43575118,0.528808594
206,4.980314255,-11.41027069,,,,,,
207,4.98275423,-11.41091728,,,,,,
208,4.980271339,-11.41426373,,,,,,
209,4.980082512,-11.41352844,,,,,,
210,4.987903595,-11.41165924,182.1025514,0.120310418,0.62980694,0.186330306,11.6538671,0.545655489
211,4.986127853,-11.41459465,,,,,,
212,4.978410244,-11.40965843,,,,,,
213,4.978444576,-11.41489506,,,,,,
214,4.97492218,-11.39976692,,,,,,
215,4.982610703,-11.41771317,180.4901167,0.139204502,0.627282905,0.179113251,11.72312144,0.510711074
216,4.976186752,-11.4166584,,,,,,
217,4.983440399,-11.41391754,,,,,,
218,4.97219944,-11.37714386,,,,,,
219,4.977600574,-11.41233826,,,,,,
220,4.98018074,-11.4156456,173.8759367,0.116449423,0.635304524,0.159774741,11.92405473,0.516073465
221,4.976219177,-11.4125042,,,,,,
222,4.974849701,-11.403862,,,,,,
223,4.98103857,-11.40799522,,,,,,
224,4.976411819,-11.41236115,,,,,,
225,4.977793217,-11.41083527,183.3059412,0.155120313,0.611242539,0.125547189,11.69829457,0.522916198
226,4.978594303,-11.41411591,,,,,,
227,4.978370667,-11.41779518,,,,,,
228,4.977104187,-11.40752316,,,,,,
229,4.979029655,-11.40612125,,,,,,
230,4.977548599,-11.41415596,229.8558046,0.203398526,0.562735809,0.092366759,12.34315997,0.512388468
231,4.979249001,-11.41317177,,,,,,
232,4.978398323,-11.41567802,,,,,,
233,4.975596905,-11.39103508,,,,,,
234,4.978528023,-11.40124321,,,,,,
235,4.991921425,-11.40933418,200.29791,0.128123641,0.613478887,0.158079769,11.8003493,0.520420074
236,4.976905346,-11.41268158,,,,,,
237,4.97700119,-11.41447735,,,,,,
238,4.976318359,-11.41545963,,,,,,
239,4.97725296,-11.41325378,,,,,,
240,4.977614403,-11.41017628,203.2277196,0.138499692,0.619985768,0.163487618,12.18257302,0.513534546
241,4.978177547,-11.40981293,,,,,,
242,4.977740288,-11.41333961,,,,,,
243,4.978780746,-11.41588783,,,,,,
244,4.977323532,-11.41057301,,,,,,
245,4.98027277,-11.41352463,190.3918611,0.124538198,0.61598185,0.162425367,11.60446929,0.522470653
246,4.979343891,-11.41587639,,,,,,
247,4.97824192,-11.40546513,,,,,,
248,4.973068714,-11.40345001,,,,,,
249,4.976890087,-11.40231133,,,,,,
250,4.974660873,-11.41209221,200.4801249,0.137863919,0.626749461,0.172446419,11.47813427,0.525569141
251,4.981170177,-11.41318703,,,,,,
252,5.008842468,-11.43533611,,,,,,
253,4.996958733,-11.4330616,,,,,,
254,4.976782322,-11.41409302,,,,,,
255,4.97133255,-11.41119003,210.2260019,0.13977094,0.618510743,0.161616237,11.67184434,0.521801591
256,4.976862907,-11.41149998,,,,,,
257,4.977290154,-11.40733624,,,,,,
258,4.973940849,-11.41000366,,,,,,
259,4.973662376,-11.41024494,,,,,,
260,4.978849888,-11.41525841,287.5492741,0.262426794,0.548227821,0.081076396,11.16749562,0.571316957
261,4.974953651,-11.41069126,,,,,,
262,4.978112221,-11.41076756,,,,,,
263,4.977796555,-11.41463661,,,,,,
264,4.978978634,-11.41185951,,,,,,
265,4.977969646,-11.41234398,189.158772,0.134352818,0.621340319,0.180419119,12.19227632,0.509960651
266,4.977797031,-11.40755653,,,,,,
267,4.977688789,-11.40951157,,,,,,
268,4.977127075,-11.40616322,,,,,,
269,4.977595329,-11.41040993,,,,,,
270,4.974648476,-11.40825939,201.9809515,0.142508835,0.619106001,0.154376866,11.62495241,0.523256242
271,4.976566315,-11.41554928,,,,,,
272,4.978614807,-11.4132719,,,,,,
273,4.977021217,-11.41053963,,,,,,
274,4.984998703,-11.41556644,,,,,,
275,4.977802277,-11.40975761,174.2578303,0.125582814,0.614911897,0.148455345,12.10257064,0.517841339
276,4.979496002,-11.41730118,,,,,,
277,4.979997158,-11.41374779,,,,,,
278,4.979834557,-11.41574097,,,,,,
279,4.976729393,-11.40685558,,,,,,
280,4.979323864,-11.41329098,181.5920574,0.132022455,0.615416263,0.172272166,12.43081177,0.514666438
281,4.978158951,-11.41587067,,,,,,
282,4.979602337,-11.41830063,,,,,,
283,4.976912975,-11.41508293,,,,,,
284,4.978773117,-11.40538216,,,,,,
285,4.979269028,-11.41631699,308.7181255,0.301444173,0.564150931,0.078461494,11.91649558,0.563461602
286,5.013711929,-11.4346962,,,,,,
287,4.97820282,-11.4146328,,,,,,
288,4.975942612,-11.41133118,,,,,,
289,4.978768349,-11.41575623,,,,,,
290,4.980579853,-11.41737366,330.652648,0.368353605,0.566946501,0.068517154,11.00180081,0.54808718
291,5.075661182,-11.19330883,,,,,,
292,4.984776497,-11.41634941,,,,,,
293,4.979718208,-11.41292763,,,,,,
294,4.976840019,-11.41348362,,,,,,
295,4.975235939,-11.39681911,188.1777365,0.126638651,0.616566367,0.148504443,11.6154486,0.522837043
296,4.974386215,-11.40432835,,,,,,
297,4.978471756,-11.41324806,,,,,,
298,4.980701923,-11.41205788,,,,,,
299,4.978034019,-11.41491032,,,,,,
300,4.981497765,-11.40945816,163.3327901,0.118604429,0.629090983,0.153833866,11.64487438,0.532267928
301,4.981793404,-11.41886806,,,,,,
302,4.980029106,-11.41680527,,,,,,
303,4.976396561,-11.41625023,,,,,,
304,4.977679729,-11.40145493,,,,,,
305,4.980349541,-11.41625023,152.873127,0.099096574,0.628005379,0.184440895,12.48159709,0.52745533
306,4.976979733,-11.41199875,,,,,,
307,4.977690697,-11.41617393,,,,,,
308,4.97395277,-11.40853119,,,,,,
309,4.976473808,-11.40771484,,,,,,
310,4.979382515,-11.41660881,215.7302579,0.147601083,0.609608631,0.152000328,11.68324647,0.520045996
311,4.978033543,-11.41184521,,,,,,
312,4.975873947,-11.41383362,,,,,,
313,4.978214264,-11.41182709,,,,,,
314,4.978989601,-11.41510582,,,,,,
315,4.976594448,-11.41030312,321.7704218,0.338209122,0.547510138,0.065626201,10.73390408,0.625656724
316,5.082951546,-11.51878548,,,,,,
317,5.06093502,-11.51210499,,,,,,
318,5.112723351,-11.55884457,,,,,,
319,4.976713657,-11.40379524,,,,,,
320,4.987251282,-11.4127655,310.5605597,0.328826159,0.57217018,0.084211639,11.39624223,0.565984488
321,4.976249218,-11.41524506,,,,,,
322,4.9332304,-11.2984333,,,,,,
323,4.981785774,-11.40994072,,,,,,
324,4.978235722,-11.40959167,,,,,,
325,4.978256702,-11.40423584,185.6412105,0.111679368,0.620081347,0.150849328,12.31816036,0.512045383
326,4.976668358,-11.40374088,,,,,,
327,4.963757515,-11.37702751,,,,,,
328,4.978361607,-11.40378571,,,,,,
329,4.976221561,-11.40451145,,,,,,
330,4.978696823,-11.40903091,180.9798882,0.130505979,0.629841718,0.161103188,11.74559782,0.529737353
331,4.978521347,-11.41159916,,,,,,
332,4.974490643,-11.40852928,,,,,,
333,4.972795963,-11.40713692,,,,,,
334,4.977178574,-11.40682125,,,,,,
335,4.978116989,-11.41046906,187.4691685,0.144705623,0.637364775,0.166296236,11.71149056,0.531598568
336,4.977412701,-11.40450287,,,,,,
337,4.979339123,-11.41776848,,,,,,
338,4.97882843,-11.41233063,,,,,,
339,4.995017529,-11.42029953,,,,,,
340,4.977554321,-11.41376114,165.7957482,0.098789573,0.619437192,0.168220744,12.38917035,0.509411931
341,4.978728771,-11.40448189,,,,,,
342,4.971010208,-11.40396309,,,,,,
343,4.976445675,-11.41209793,,,,,,
344,4.976652145,-11.41439247,,,,,,
