epoch,fid
1,151.8174133630989
2,189.81881413477203
3,177.21306830737993
4,194.03278988760655
5,169.87829652929457
6,160.54349262374728
7,154.07664732468257
8,158.38371461201584
9,154.00782974741946
10,155.99532679167274
11,167.3137947640236
12,163.63507624825726
13,159.04367888320158
14,158.5618415960102
15,158.71565636191912
16,153.86642997699497
17,202.28199510795673
18,165.36346198267915
19,148.30043343314577
20,149.24647050788263
21,150.03125444086544
22,152.05963259706616
23,163.56138166446914
24,149.0212183537006
25,151.759857628407
26,177.4490310796392
27,173.11705904631066
28,159.58258291501772
29,153.71423696454787
30,166.50518862817725
31,151.2399259048587
32,159.37905036042278
33,155.39904064662343
34,149.27459666333903
35,147.84076168663464
36,152.68075504176394
37,150.6464815584952
38,145.94876901556188
39,154.24710445049266
40,153.0825076531571
41,151.33614139963328
42,155.0764945953857
43,153.2826216912715
44,150.45829465943237
45,156.38769531154517
46,147.5902957444625
47,149.58872875303788
48,151.0499810246827
49,150.780402394975
50,149.11696866156504
