epoch,fid
1,168.25752827013628
2,246.27031237384898
3,175.18269946231248
4,160.37445794536185
5,168.32293506146237
6,231.7362606286245
7,156.56861224642435
8,203.0139219998292
9,158.8269191585368
10,169.99922516257254
11,166.77034289418117
12,154.222048247235
13,170.89363453475704
14,153.76138848121892
15,155.3949971963392
16,156.0498049106008
17,180.20221584795686
18,168.56304028356445
19,181.97858892083994
20,165.93644435671962
21,174.42766102966482
22,197.22085587879587
23,168.95688584412545
24,177.54967270650752
25,165.68173748755976
26,169.76882021106647
27,176.54439202422125
28,188.05627560544767
29,161.7050948147912
30,166.13026556120613
31,174.65280658891186
32,173.50196572195046
33,164.02404637185026
34,175.71065072370914
35,179.5764310625779
36,182.5428269405442
37,171.33491937574502
38,163.90496130892618
39,161.12504715958156
40,172.03461439496795
41,166.73115588951356
42,175.71907904124748
43,167.75496188856658
44,168.7629847622433
45,182.7639593572184
46,174.62452890292673
47,171.49144269118128
48,167.10261709588934
49,165.662529836535
50,155.2348852567463
