epoch,G_loss,D_loss,FID,KID,JSD,SSIM,PSNR,LPIPS,kimg_acu,kimg,carpeta
0.000797607,0.783220887,1.799534798,279.614505,0.803586689,0.129863229,0.109115975,5.896818952,0.79444474,0.032000002,0.032000002,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
0.100498506,3.54543008,1.260559262,,,,,,,4.032000065,4.032000065,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
0.200199392,1.876805201,1.042227518,,,,,,,8.031999588,8.031999588,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
0.299900289,1.594086628,0.992570267,,,,,,,12.03199959,12.03199959,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
0.399601186,1.864968795,1.027530858,280.9875162,1.066367704,0.179483761,0.21371801,13.40338337,0.728034198,16.03199959,16.03199959,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
0.499302083,1.598138048,1.09873525,,,,,,,20.03199959,20.03199959,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
0.599002981,1.048270726,1.254748824,,,,,,,24.03199959,24.03199959,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
0.698703878,1.158525184,1.239092714,,,,,,,28.03199959,28.03199959,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
0.798404823,1.471047772,1.157777571,221.0895599,0.681903251,0.160803847,0.229297603,14.49152527,0.595556796,32.0320015,32.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
0.89810572,1.096586475,1.188527549,,,,,,,36.0320015,36.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
0.997806618,0.988385551,1.290614747,,,,,,,40.0320015,40.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
1.097507515,0.898305403,1.319183898,,,,,,,44.0320015,44.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
1.197208412,0.90529186,1.324322048,199.7730361,0.455469317,0.075561082,0.249110471,14.05931481,0.466818333,48.0320015,48.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
1.296909309,0.885073052,1.334020552,,,,,,,52.0320015,52.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
1.396610207,1.317303256,1.275167148,,,,,,,56.0320015,56.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
1.496311104,0.897254216,1.264416389,,,,,,,60.0320015,60.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
1.596011906,0.873340011,1.303872174,186.4723804,0.405683744,0.087416636,0.284799845,13.62061387,0.441122591,64.03199768,64.03199768,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
1.695712804,0.827621329,1.331465677,,,,,,,68.03199768,68.03199768,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
1.795413701,0.801936407,1.344679029,,,,,,,72.03199768,72.03199768,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.85
