epoch,loss_G,loss_D,FID,KID,JSD,SSIM,PSNR,LPIPS
1,1.526197672,-3.071957827,,,,,,
2,1.391927481,-2.94950676,,,,,,
3,1.473290086,-3.025321245,,,,,,
4,1.115617275,-1.846501946,,,,,,
5,1.307781935,-1.532544494,236.6528651,0.237505779,0.496834787,0.237125726,12.98641948,0.433402598
6,1.356004238,-2.847061396,,,,,,
7,1.208277583,-2.502939224,,,,,,
8,1.077121854,-1.568741202,,,,,,
9,1.28339684,-2.765306711,,,,,,
10,1.170839071,-1.687959909,141.7028954,0.114348188,0.563050441,0.228939176,12.55550203,0.462350249
11,1.303625464,-2.788749695,,,,,,
12,1.171676636,-2.560938835,,,,,,
13,1.225682616,-2.704128981,,,,,,
14,1.205588698,-2.678951979,,,,,,
15,1.258348227,-2.698892355,117.55416,0.059384834,0.563040811,0.254839532,12.15986894,0.448857039
16,1.30603075,-2.844253063,,,,,,
17,1.262295485,-2.763554573,,,,,,
18,1.220047235,-2.773315668,,,,,,
19,0.87382257,-2.482452869,,,,,,
20,1.269664288,-2.801883698,181.0013098,0.166804969,0.610299194,0.160130984,12.9673652,0.519262195
21,1.336396694,-2.872505665,,,,,,
22,1.297596216,-2.775585175,,,,,,
23,1.228589296,-2.809473991,,,,,,
24,0.61402595,-2.198217392,,,,,,
25,1.326676607,-2.86046648,111.7865743,0.064978048,0.564157538,0.26830158,12.87656004,0.451378047
26,1.348133087,-2.881762981,,,,,,
27,1.280060291,-2.661530495,,,,,,
28,1.288731813,-2.707816124,,,,,,
29,1.265413046,-2.633588314,,,,,,
30,0.75795877,-1.318068862,127.5272335,0.075694576,0.558819319,0.279759841,12.65720923,0.438790798
31,1.362341285,-2.88684988,,,,,,
32,1.228024006,-2.801826715,,,,,,
33,1.338504076,-2.8616395,,,,,,
34,1.318750858,-2.820132732,,,,,,
35,1.326062679,-2.884259224,136.0078181,0.062118586,0.569638241,0.261412122,12.99346341,0.458363712
36,1.353637576,-2.886142254,,,,,,
37,0.045034058,-1.972568512,,,,,,
38,1.372101784,-2.886130095,,,,,,
39,0.360299647,-0.77278173,,,,,,
40,1.066252232,-1.41691637,142.8673818,0.087367207,0.541599132,0.281548726,12.71520615,0.425550759
41,1.273523331,-2.842952728,,,,,,
42,1.227047205,-2.800056934,,,,,,
43,1.364122629,-2.862639904,,,,,,
44,1.354178667,-2.832547188,,,,,,
45,1.281967521,-2.490424633,99.89311673,0.058947053,0.540972869,0.293437893,12.54851002,0.415428698
46,1.250353217,-2.829937935,,,,,,
47,1.234995008,-2.826614618,,,,,,
48,1.290373802,-2.73656249,,,,,,
49,1.331426978,-2.612233639,,,,,,
50,-0.15471074,-0.903856397,100.9816882,0.043330353,0.522957481,0.315558067,12.54681454,0.396049589
51,1.397954941,-2.952647924,,,,,,
52,1.249632597,-2.847625971,,,,,,
53,1.247830153,-2.843450069,,,,,,
54,1.175747633,-2.295880795,,,,,,
55,1.405064583,-2.949906111,105.3457481,0.041273545,0.528501747,0.307109767,12.86703012,0.390264571
56,1.420379877,-2.963256359,,,,,,
57,1.375190496,-2.909576416,,,,,,
58,0.712237,-2.265041351,,,,,,
59,1.183673382,-2.59333086,,,,,,
60,1.179845333,-2.660137177,121.1215743,0.066487752,0.530165853,0.300512854,12.639471,0.409406751
61,1.360724449,-2.866329193,,,,,,
62,-0.220839798,-1.187653542,,,,,,
63,1.252285957,-2.820922852,,,,,,
64,1.227924705,-2.800381422,,,,,,
65,1.355617762,-2.908369541,130.9303772,0.085967049,0.551088899,0.287575018,12.42034971,0.42994684
66,1.312260509,-2.799474716,,,,,,
67,1.241441011,-2.819925785,,,,,,
68,1.329929829,-2.783253193,,,,,,
69,1.240578294,-2.641560078,,,,,,
70,1.33318758,-2.936865091,132.7479438,0.102748707,0.564785322,0.249485779,12.55589556,0.444495916
71,1.244102478,-2.833833694,,,,,,
72,1.384809971,-2.907632589,,,,,,
73,1.352600336,-2.422854424,,,,,,
74,1.342895985,-2.941318989,,,,,,
75,1.334014416,-2.845155716,114.3950222,0.046381094,0.552414632,0.272728432,12.71414339,0.432519794
76,1.410191894,-2.96595192,,,,,,
77,1.344526887,-2.846011639,,,,,,
78,1.367084265,-2.832902431,,,,,,
79,1.283565521,-2.665881157,,,,,,
80,1.318873882,-2.846307278,112.6486736,0.053482622,0.52958734,0.301356803,12.72192189,0.398327112
81,1.341930032,-2.896232843,,,,,,
82,1.30324173,-2.744080544,,,,,,
83,1.335698247,-2.341845751,,,,,,
84,-0.17652832,-1.159337401,,,,,,
85,1.256059289,-2.47145319,127.6705985,0.090931073,0.567332347,0.269960557,12.23015654,0.443130255
86,1.343030453,-2.85963583,,,,,,
87,1.303082347,-2.821709156,,,,,,
88,1.191535234,-2.689128876,,,,,,
89,0.863771439,-1.136646509,,,,,,
90,1.353106499,-2.906275272,104.1009942,0.0522663,0.537948822,0.289381736,12.89927729,0.419509858
91,1.31896174,-2.885077953,,,,,,
92,1.288945079,-2.784114361,,,,,,
93,1.307292223,-2.863982916,,,,,,
94,1.337054729,-2.846777439,,,,,,
95,1.257626534,-2.616812706,145.8018476,0.165816531,0.583061319,0.244730349,12.54543175,0.475043058
96,1.322595358,-2.903118134,,,,,,
97,1.311024904,-2.825006962,,,,,,
98,1.318451166,-2.816341877,,,,,,
99,1.345667601,-2.899094582,,,,,,
100,1.348289251,-2.858008146,145.8018476,0.165816531,0.583061319,0.244730349,12.54543175,0.475043058
101,1.319857597,-2.927032948,,,,,,
102,1.263471365,-2.861336708,,,,,,
103,1.2531147,-2.844978809,,,,,,
104,1.297970414,-2.720160961,,,,,,
105,0.054884437,-0.688838899,100.2987962,0.031687632,0.528336253,0.329958227,12.76358712,0.382718027
106,1.425928593,-2.977396011,,,,,,
107,1.431740522,-2.936766148,,,,,,
108,1.172896266,-0.325121403,,,,,,
109,1.396009564,-2.972155571,,,,,,
110,0.874682605,-1.086120725,129.2512725,0.045799997,0.545454145,0.302648227,12.33844928,0.399882078
111,1.325660229,-2.801179409,,,,,,
112,1.339275956,-2.838991642,,,,,,
113,1.380953789,-2.95417428,,,,,,
114,1.241998911,-2.610602856,,,,,,
115,1.380294204,-2.917416096,108.7135022,0.055327322,0.530150555,0.308245971,12.36438634,0.404186994
116,1.373268127,-2.921163559,,,,,,
117,1.336008549,-2.81417799,,,,,,
118,1.374260426,-2.853681326,,,,,,
119,1.287557125,-2.763348103,,,,,,
120,1.307387829,-2.855614185,152.8032813,0.116403572,0.59209449,0.230200948,12.63808887,0.473564982
121,1.331773758,-2.862528086,,,,,,
122,1.277189016,-2.353631735,,,,,,
123,0.558539927,-2.248785019,,,,,,
124,1.323099732,-2.830141068,,,,,,
125,1.320744514,-2.863266945,102.2771805,0.054602981,0.554149241,0.284282959,12.73080052,0.421572119
126,1.374843121,-2.910556555,,,,,,
127,1.334805369,-2.750587463,,,,,,
128,0.244547963,-2.169617653,,,,,,
129,1.349185944,-2.874723911,,,,,,
130,1.37110424,-2.875028133,95.31721903,0.04197536,0.536873001,0.317225132,12.75577438,0.39482525
131,1.348664761,-2.847899675,,,,,,
132,1.292468071,-2.573233604,,,,,,
133,1.384475708,-2.917681456,,,,,,
134,1.330657482,-2.846094608,,,,,,
135,1.339129329,-2.792189837,94.35716031,0.045672867,0.540151997,0.294158089,12.98893084,0.402151734
136,1.368591785,-2.889469624,,,,,,
137,1.366189003,-2.773926258,,,,,,
138,1.372258186,-2.916821003,,,,,,
139,1.344461322,-2.806720257,,,,,,
140,1.359297156,-2.836448193,89.25159649,0.033707596,0.531045578,0.309214683,13.32051308,0.394977212
141,1.363736629,-2.931121349,,,,,,
142,1.165706873,-2.586304665,,,,,,
143,1.331701279,-2.760812759,,,,,,
144,1.2466681,-2.732203484,,,,,,
145,1.375034094,-2.899953365,95.25084408,0.047065321,0.525206978,0.304131493,12.75973434,0.405528605
146,1.299211979,-2.865144968,,,,,,
147,1.405936241,-2.95115757,,,,,,
148,1.355995178,-2.868671656,,,,,,
149,-0.620946169,-1.27456069,,,,,,
