epoch,G_loss,D_loss,kimg_acu,kimg,run_id,,
3.889930141,0.749900938,1.357007486,156.0639973,16.03199959,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
3.989631039,0.738405031,1.368275888,160.0639973,20.03199959,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
4.089331936,0.722578997,1.3770638,164.0639973,24.03199959,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
4.189032833,0.722877208,1.379109059,168.0639973,28.03199959,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
4.288733778,0.721823295,1.378756415,172.0639992,32.0320015,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
4.388434675,0.728087586,1.376406014,176.0639992,36.0320015,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
4.488135573,0.725797922,1.376878781,180.0639992,40.0320015,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
4.58783647,0.715304773,1.380109426,184.0639992,44.0320015,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
4.687537367,0.716186841,1.381644678,188.0639992,48.0320015,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
4.787238265,0.717377537,1.380343414,192.0639992,52.0320015,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
4.886939162,0.717477056,1.381379381,196.0639992,56.0320015,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
4.986640059,0.718140347,1.380243858,200.0639992,60.0320015,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
5.086340861,0.765225997,1.368385619,204.0639954,64.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
5.186041759,0.717609268,1.373619344,208.0639954,68.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
5.285742656,0.720151731,1.374271929,212.0639954,72.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
5.385443553,0.719443936,1.377599755,216.0639954,76.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
5.485144451,0.718055569,1.376518293,220.0639954,80.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
5.584845348,0.713137485,1.379825438,224.0639954,84.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.5-resumecustom,,
