epoch,fid
1,172.02501400797354
2,222.05352545088095
3,167.65994294398533
4,172.31013644679382
5,187.42158186820592
6,183.52609559552496
7,213.36120940635587
8,200.4978401719144
9,196.6803523138612
10,169.77313271059927
11,175.40589781778874
12,172.7491444886927
13,171.98693596565136
14,172.93661572622338
15,166.39182464668662
16,184.6959092906021
17,214.16707577687475
18,177.59487629744004
19,185.9782316648603
20,182.5323259603714
21,183.3451297118038
22,174.59156990441306
23,168.55859323398553
24,171.19534483444164
25,200.31127387255708
26,171.04822242427045
27,193.37167759581573
28,188.72973119666818
29,181.39888195222846
30,184.66184812740875
31,174.32792417756264
32,180.37807648657972
33,159.60815118574234
34,161.0914426257956
35,163.96099460635912
36,179.96951712781606
37,172.1502724820241
38,174.76619289846124
39,177.05655125694096
40,180.19793287218198
41,161.42339753434686
42,176.49029988729362
43,178.005480549361
44,159.1097904077965
45,161.43630768083455
46,164.92836002916562
47,164.37453836946605
48,150.90207233086153
49,159.71116789160502
50,165.83887118301058
