epoch,loss_G,loss_D,FID,KID,JSD,SSIM,PSNR,LPIPS
1,138.8803864,-275.1170654,,,,,,
2,161.3957672,-318.3339233,,,,,,
3,161.7112427,-318.8776855,,,,,,
4,129.6289063,-287.0586548,,,,,,
5,129.6903992,-287.5396118,464.5760398,0.631066561,0.524520315,0.013221594,7.757453187,0.987051487
6,122.5547333,-270.6309204,,,,,,
7,133.7088623,-291.9889526,,,,,,
8,129.7670746,-288.815918,,,,,,
9,129.6169434,-288.4627686,,,,,,
10,128.5156555,-286.7010498,308.2569264,0.374566913,0.517646873,0.059849263,11.71670748,0.772322237
11,130.0951233,-289.0426331,,,,,,
12,129.9824524,-289.2533569,,,,,,
13,130.0968018,-289.3184814,,,,,,
14,130.0042267,-289.4900513,,,,,,
15,131.7618408,-289.7843628,289.7522592,0.30518502,0.528284132,0.079679939,12.72045717,0.666382909
16,130.7864075,-289.0463257,,,,,,
17,129.785553,-289.5968018,,,,,,
18,129.9824829,-289.367981,,,,,,
19,129.9052124,-289.6292114,,,,,,
20,129.890274,-289.3015137,404.9196638,0.489307374,0.550681034,0.055610392,11.63640645,0.694300711
21,130.039917,-289.6904297,,,,,,
22,128.1263428,-284.182251,,,,,,
23,130.2597351,-289.1789856,,,,,,
24,145.2832794,-304.2832642,,,,,,
25,129.9740906,-289.7964478,387.5578115,0.482819051,0.56056384,0.046699435,11.39946091,0.696690798
26,130.0093994,-289.6745605,,,,,,
27,129.9649353,-289.416687,,,,,,
28,130.0279083,-289.5798645,,,,,,
29,130.1476135,-289.6666565,,,,,,
30,130.0903931,-289.7058105,356.82409,0.429046988,0.55161586,0.065410867,11.88982742,0.800051212
31,130.0724792,-289.6160889,,,,,,
32,130.1138611,-289.8293457,,,,,,
33,130.0135193,-289.7886047,,,,,,
34,129.4155579,-287.8211975,,,,,,
35,129.82341,-288.5563354,234.2617799,0.22841233,0.581835603,0.093527535,11.71310967,0.54852128
36,131.8775024,-290.1216125,,,,,,
37,129.1093597,-287.7823486,,,,,,
38,129.5614929,-288.3312378,,,,,,
39,129.8283386,-289.0665283,,,,,,
40,137.1431885,-295.8138123,313.7725782,0.324439526,0.540594622,0.070173008,13.4278684,0.603349209
41,129.9490356,-289.1803589,,,,,,
42,129.5091553,-288.077179,,,,,,
43,132.1275024,-290.1464844,,,,,,
44,131.4552307,-291.0003662,,,,,,
45,130.0007019,-289.7304077,397.341967,0.530912817,0.55367011,0.051881892,12.61885375,0.641629457
46,129.9819336,-289.8316956,,,,,,
47,130.0274353,-289.7851868,,,,,,
48,130.1411438,-289.8288879,,,,,,
49,130.6495209,-290.1510315,,,,,,
50,130.1635895,-289.7288818,381.1928792,0.462435633,0.55982673,0.084019811,11.578801,0.716641784
51,130.0662231,-289.8036499,,,,,,
52,130.0757751,-289.8753662,,,,,,
53,130.0856628,-289.895752,,,,,,
54,130.0366364,-289.822937,,,,,,
55,129.5536499,-288.4790039,197.895502,0.181378409,0.570827632,0.075350299,12.9352031,0.603833318
56,130.2804871,-290.010376,,,,,,
57,129.881958,-289.5562744,,,,,,
58,130.3951416,-290.1345215,,,,,,
59,130.3302917,-289.7542114,,,,,,
60,130.4058838,-290.1417847,361.6112578,0.451412618,0.577335832,0.086593437,12.836798,0.618929625
61,130.0631866,-289.9459229,,,,,,
62,130.0242004,-289.8291626,,,,,,
63,130.0415039,-289.8669434,,,,,,
64,130.0587158,-289.3717346,,,,,,
65,129.8186798,-289.3303833,244.6144416,0.214844719,0.581040612,0.076461484,12.11979947,0.564507425
66,129.8471985,-289.116272,,,,,,
67,130.0249786,-289.811615,,,,,,
68,130.5848236,-290.2960815,,,,,,
69,129.8944702,-289.4102173,,,,,,
70,129.9617462,-289.6551514,235.0954049,0.259237796,0.619961842,0.101990865,10.81635643,0.569046974
71,129.9890442,-289.7121582,,,,,,
72,130.0222168,-289.8217163,,,,,,
73,130.246994,-289.6307373,,,,,,
74,130.0700378,-289.9081421,,,,,,
75,130.0663452,-289.6010132,235.0954049,0.259237796,0.619961842,0.101990865,10.81635643,0.569046974
76,133.0886841,-292.5931091,,,,,,
77,132.1257324,-291.9263916,,,,,,
78,131.8856354,-291.0357971,,,,,,
79,129.9433594,-289.6761475,,,,,,
80,129.9938354,-289.8213501,445.2532996,0.537506163,0.572525061,0.058990433,11.07179649,0.649366438
81,130.0600281,-289.8449707,,,,,,
82,130.036438,-289.8942871,,,,,,
83,130.0114441,-289.8745728,,,,,,
84,130.0170288,-289.8847961,,,,,,
85,129.3084106,-288.4984131,271.8879749,0.276146352,0.581873595,0.082661821,12.19123899,0.545202374
86,130.0555725,-289.8510132,,,,,,
87,129.9555206,-289.687439,,,,,,
88,130.0169067,-289.8331299,,,,,,
89,130.0643311,-289.9483643,,,,,,
90,129.622818,-289.1423645,199.4316087,0.143696174,0.603501681,0.108055027,11.34412346,0.536042988
91,129.8038177,-289.466095,,,,,,
92,130.0250549,-289.6512451,,,,,,
93,130.072052,-289.9854736,,,,,,
94,130.0475159,-289.8253784,,,,,,
95,129.7597351,-289.416748,212.0637174,0.191652536,0.604321206,0.10476633,12.62041358,0.585932493
96,129.9473877,-289.7262573,,,,,,
97,129.9728241,-289.7987061,,,,,,
98,130.0198212,-289.8023682,,,,,,
99,134.5401611,-293.2516174,,,,,,
100,130.007309,-289.9279785,308.3229991,0.298996925,0.554444435,0.072951807,10.9597883,0.629241824
101,129.7797089,-289.5280762,,,,,,
102,129.9331207,-289.7146606,,,,,,
103,130.0731812,-289.7891235,,,,,,
104,130.013443,-289.847229,,,,,,
105,130.0643463,-289.8678589,232.916172,0.206051171,0.594500213,0.09539647,12.74364627,0.651030183
106,130.0579376,-289.791626,,,,,,
107,130.0805359,-289.6828308,,,,,,
108,130.0450439,-289.9138794,,,,,,
109,130.1173401,-290.0273438,,,,,,
110,130.0201874,-289.6362915,353.7251041,0.368314326,0.601554083,0.129445041,12.02867636,0.612009466
111,130.1015625,-290.053894,,,,,,
112,130.0333557,-289.9306335,,,,,,
113,129.921463,-289.6850891,,,,,,
114,130.0295868,-289.8861084,,,,,,
115,130.072052,-289.9967651,187.0883847,0.165324301,0.607187971,0.12912151,11.7878015,0.541256428
116,130.0190277,-289.8925781,,,,,,
117,130.0328369,-289.8804016,,,,,,
118,130.019989,-289.8103638,,,,,,
119,130.0844116,-290.0506897,,,,,,
120,130.0373535,-289.9750977,336.0091207,0.356232554,0.542994555,0.058279191,10.34271544,0.654391527
121,130.8968506,-289.6911011,,,,,,
122,130.1104279,-290.0447388,,,,,,
123,130.3088684,-290.1424561,,,,,,
124,130.1147766,-289.9943848,,,,,,
125,130.0591736,-289.927948,353.934752,0.36981836,0.549630166,0.081823628,9.89167135,0.659783304
126,130.0538635,-290.0233154,,,,,,
127,130.1054993,-290.0460815,,,,,,
128,131.0368347,-289.5669861,,,,,,
129,130.2543945,-290.0822449,,,,,,
130,130.164856,-289.972168,352.0813646,0.411323249,0.549361871,0.082791552,8.513009819,0.729240417
131,130.1344452,-290.0357056,,,,,,
132,130.0503998,-289.9774475,,,,,,
133,130.0527496,-289.9876099,,,,,,
134,130.066925,-290.0016479,,,,,,
135,130.0684509,-290.0467224,341.999123,0.377532303,0.552039874,0.08042563,8.63917412,0.714261353
136,130.0549316,-290.0075073,,,,,,
137,130.2589569,-289.6513062,,,,,,
138,130.0289612,-290.0562439,,,,,,
139,130.4054718,-290.3314514,,,,,,
140,130.0229797,-289.9822388,326.869905,0.328572273,0.561050763,0.084429317,8.871890152,0.730824769
141,130.0929718,-290.0233765,,,,,,
142,130.0710602,-290.0556335,,,,,,
143,130.0820618,-289.9578247,,,,,,
144,130.0718842,-290.034729,,,,,,
145,129.3192444,-288.809021,229.4613363,0.256109536,0.597114596,0.114624289,13.3591163,0.55136162
146,129.9895325,-289.7015686,,,,,,
147,130.1172333,-290.0490723,,,,,,
148,130.0419617,-289.9846497,,,,,,
149,130.0500031,-289.9442749,,,,,,
150,130.0676575,-289.9904785,288.6741631,0.326363832,0.550677397,0.091715976,12.37218194,0.623706996
151,130.3634338,-290.2362671,,,,,,
152,130.0549164,-290.0344238,,,,,,
153,130.0574341,-289.9986267,,,,,,
154,129.9917908,-289.8920898,,,,,,
155,130.9980164,-290.852356,231.7259691,0.188980743,0.629504321,0.170015832,11.69758137,0.562544584
156,130.1109619,-289.9879456,,,,,,
157,130.1069336,-289.9558716,,,,,,
158,130.0263062,-289.9631348,,,,,,
159,130.1262817,-289.9940186,,,,,,
160,130.0111389,-289.8552551,322.9711403,0.358084083,0.590338639,0.096399988,12.50317432,0.553168416
161,130.0287628,-289.7203979,,,,,,
162,130.0574341,-289.943512,,,,,,
163,130.0807343,-290.0593262,,,,,,
164,130.0427856,-289.96875,,,,,,
165,130.0968933,-290.0352173,353.2551979,0.418436408,0.559903571,0.080764788,12.16553651,0.607650578
166,130.0696411,-290.0371704,,,,,,
167,132.5548401,-292.4785767,,,,,,
168,132.6272278,-292.1633911,,,,,,
169,129.9561768,-289.8311157,,,,,,
170,130.0801697,-290.0108643,221.1473157,0.18856436,0.622672456,0.14665988,11.50478599,0.588567436
171,130.1118164,-289.8483582,,,,,,
172,130.0826874,-290.0140991,,,,,,
173,129.9577789,-289.842041,,,,,,
174,129.9786835,-289.904541,,,,,,
175,130.0489807,-290.0144348,235.1523201,0.22331591,0.599716531,0.125172075,12.08991745,0.515443683
176,130.0294189,-289.7768555,,,,,,
177,130.0428925,-289.9047852,,,,,,
178,130.0905457,-289.9906616,,,,,,
179,129.9686279,-289.6598206,,,,,,
180,130.081604,-289.9587097,334.0082257,0.37904188,0.563009514,0.065030225,12.38570905,0.6254673
181,130.0439148,-289.9202881,,,,,,
182,130.0608521,-290.0515442,,,,,,
183,129.9816437,-289.9696045,,,,,,
184,130.006073,-289.6487122,,,,,,
185,129.7326202,-289.3937988,196.0350215,0.169539839,0.589540644,0.101889567,12.31584563,0.555526853
186,130.0618896,-290.0098877,,,,,,
187,130.0749664,-289.9532471,,,,,,
188,130.0403442,-289.8597412,,,,,,
189,130.9256592,-290.7716675,,,,,,
190,130.0865173,-289.9296875,363.572155,0.427232236,0.566022,0.064688798,11.37379283,0.620237827
191,130.0618286,-290.0073547,,,,,,
192,130.0583801,-290.0350952,,,,,,
193,130.255188,-290.2327881,,,,,,
194,130.0557404,-290.0525513,,,,,,
195,130.0601501,-290.0047607,299.9525943,0.280991495,0.600700566,0.106099868,12.39692473,0.546384811
196,130.0835114,-290.0229187,,,,,,
197,130.0971069,-290.1060181,,,,,,
198,130.0858459,-290.0217896,,,,,,
199,130.2000122,-289.9411011,,,,,,
200,130.0627136,-290.0744629,254.336026,0.247449413,0.55043761,0.087028454,9.934741357,0.615846157
201,130.1924744,-290.1300659,,,,,,
202,130.0755157,-289.9478149,,,,,,
203,130.0908203,-290.0288391,,,,,,
204,130.0661621,-289.9997864,,,,,,
205,130.084137,-290.0734863,302.9461657,0.316429824,0.563278463,0.077063068,9.006946287,0.698039174
206,130.0757599,-289.9927368,,,,,,
207,130.0892029,-289.7105713,,,,,,
208,130.1927795,-290.0608521,,,,,,
209,130.292099,-290.3478088,,,,,,
210,130.1166687,-289.9758911,202.9255209,0.149061173,0.619305049,0.158713222,12.320974,0.541734219
211,130.1219482,-289.875,,,,,,
212,130.0720215,-289.9663696,,,,,,
213,130.1500549,-290.1134644,,,,,,
214,130.0570831,-290.0358276,,,,,,
215,130.0809631,-290.0557861,247.1179282,0.228683531,0.559868702,0.075736659,12.14749665,0.555648088
216,129.9661407,-289.1964722,,,,,,
217,130.1686096,-290.1224976,,,,,,
218,129.9297485,-289.5406189,,,,,,
219,130.0712585,-290.0084229,,,,,,
220,129.952652,-289.9788818,173.8507075,0.122807205,0.626709135,0.154883415,11.71345349,0.553817213
221,130.5813599,-290.0170593,,,,,,
222,130.0985718,-290.0744019,,,,,,
223,130.0480042,-290.0888367,,,,,,
224,130.0700073,-290.0594482,,,,,,
225,130.1641846,-290.1724243,210.9878171,0.194645166,0.620488743,0.157582991,12.01098783,0.550335288
226,130.5302429,-289.3123474,,,,,,
227,130.2523193,-290.1028137,,,,,,
228,130.0597382,-290.0684509,,,,,,
229,130.1689606,-289.9220276,,,,,,
230,130.0730743,-290.0743713,326.4236648,0.316767603,0.694065274,0.270794548,12.37963848,0.636950374
231,130.0636292,-290.0697021,,,,,,
232,130.0914154,-290.0339355,,,,,,
233,130.1031494,-290.1201172,,,,,,
234,130.1005096,-290.0444946,,,,,,
235,130.0451965,-290.0153503,313.7242419,0.276561201,0.628970193,0.186029212,11.60711919,0.578577638
236,129.6636047,-289.2424927,,,,,,
237,130.2525787,-290.1606445,,,,,,
238,130.0857086,-290.0941162,,,,,,
239,130.0644684,-290.0195923,,,,,,
240,130.0811462,-290.0333252,281.4048359,0.259214133,0.592337914,0.090786163,12.1996822,0.55516088
241,130.1361084,-290.1148071,,,,,,
242,130.0358887,-289.9966125,,,,,,
243,130.0956421,-290.0481873,,,,,,
244,130.0550232,-290.1055908,,,,,,
245,130.1279755,-290.1289063,220.261019,0.168109149,0.607280409,0.128160959,12.98439533,0.568070292
246,130.0764313,-290.1040649,,,,,,
247,130.0735626,-290.0856934,,,,,,
248,130.0561829,-290.0645142,,,,,,
249,130.1175842,-290.0924683,,,,,,
250,130.0660706,-290.0737305,351.407788,0.397363037,0.560093098,0.066674236,12.61161743,0.621373057
251,138.0053711,-296.4168701,,,,,,
252,132.7078552,-292.0928345,,,,,,
253,133.3696289,-292.9635925,,,,,,
254,129.8922424,-289.7641602,,,,,,
255,130.0678253,-290.1678162,252.0807039,0.243305743,0.625690867,0.129352587,11.52568808,0.567839026
256,130.0593109,-290.0718994,,,,,,
257,130.0970459,-290.0209351,,,,,,
258,130.0608521,-290.0691528,,,,,,
259,129.7483215,-289.4724121,,,,,,
260,130.0276031,-290.0520935,256.1875694,0.226852819,0.600602091,0.112663473,12.71906812,0.518461943
261,130.0436249,-290.0744629,,,,,,
262,130.0724945,-290.0667114,,,,,,
263,130.0383148,-290.0491943,,,,,,
264,130.0247803,-290.010376,,,,,,
265,130.0497742,-289.9420166,190.0895228,0.171177268,0.606554866,0.141011163,11.67822342,0.553488731
266,130.0269928,-289.8561401,,,,,,
267,130.0810852,-290.0617065,,,,,,
268,130.1119537,-290.0922241,,,,,,
269,130.0496216,-290.0889282,,,,,,
270,129.9518738,-289.8487244,193.93122,0.189810812,0.595174308,0.129507525,11.79455679,0.542734563
271,130.111908,-290.0430908,,,,,,
272,130.0495605,-290.0603333,,,,,,
273,129.8703766,-289.5493469,,,,,,
274,134.3731384,-294.1322021,,,,,,
275,130.1157532,-290.041687,231.9807625,0.223188952,0.606503721,0.105451062,11.97826197,0.537221253
