epoch,G_loss,D_loss,FID,KID,JSD,SSIM,PSNR,LPIPS,kimg_acu,kimg,carpeta
0.000797607,0.783245027,1.798812032,279.6080129,0.803657769,0.130264827,0.109110766,5.896941333,0.794482768,0.032000002,0.032000002,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
0.100498506,2.949608816,1.23843286,,,,,,,4.032000065,4.032000065,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
0.200199392,2.399367025,1.026980757,,,,,,,8.031999588,8.031999588,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
0.299900289,1.431647074,1.026270324,,,,,,,12.03199959,12.03199959,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
0.399601186,1.584353561,1.141659242,338.708112,1.093890797,0.183892756,0.20427899,13.51690201,0.758623958,16.03199959,16.03199959,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
0.499302083,1.27687184,1.22690152,,,,,,,20.03199959,20.03199959,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
0.599002981,1.460444662,1.207634349,,,,,,,24.03199959,24.03199959,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
0.698703878,1.237364309,1.204714115,,,,,,,28.03199959,28.03199959,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
0.798404823,0.980843387,1.319097738,239.7129985,0.795752032,0.148760766,0.194017343,14.35468792,0.600588262,32.0320015,32.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
0.89810572,0.831335431,1.348635765,,,,,,,36.0320015,36.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
0.997806618,0.90453964,1.347492341,,,,,,,40.0320015,40.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
1.097507515,0.925253135,1.333248919,,,,,,,44.0320015,44.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
1.197208412,0.854980546,1.33618655,182.754088,0.464249544,0.035783209,0.241881277,13.64553978,0.49094671,48.0320015,48.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
1.296909309,0.854895857,1.348645735,,,,,,,52.0320015,52.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
1.396610207,0.813887771,1.347147571,,,,,,,56.0320015,56.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
1.496311104,1.018937035,1.323104827,,,,,,,60.0320015,60.0320015,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
1.596011906,0.829921559,1.32149288,141.8326123,0.275659025,0.028380947,0.257023132,13.59639999,0.442835122,64.03199768,64.03199768,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
1.695712804,0.784085366,1.353991844,,,,,,,68.03199768,68.03199768,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
1.795413701,0.745553833,1.371633708,,,,,,,72.03199768,72.03199768,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
1.895114598,0.773514739,1.368358211,,,,,,,76.03199768,76.03199768,00000-frames_extraidos-11gb-gpu-gamma32-batch32-ada-target0.7
