epoch,fid
1,171.7808904728283
2,237.2945539856398
3,188.53618708981108
4,178.37738646477146
5,170.94676101910997
6,160.10646501861783
7,177.35225546403606
8,176.62384726502825
9,181.0575524046477
10,164.4594906823218
11,160.004666842241
12,154.68775748857155
13,163.31723761648848
14,179.96043299389174
15,153.8105305305709
16,157.45482692268723
17,150.09604676741523
18,150.6846199851373
19,151.157916190447
20,153.53181368920897
21,157.17367888307052
22,155.523270516361
23,156.51164875266207
24,172.99995545582703
25,163.6807208678683
26,154.30038701393144
27,146.73456199086587
28,157.62353789922486
29,152.05194863357968
30,139.47048081915784
31,145.27816006015254
32,145.25928802471708
33,145.82767970368718
34,145.85498522165412
35,150.28719705877947
36,146.0961999310055
37,149.13392795405105
38,140.57949497874569
39,143.187715714332
40,147.5059001224164
41,141.9337092482226
42,148.4805639509767
43,151.58985361452767
44,148.98424997823875
45,151.32535135738118
46,147.58741176062836
47,140.17118852166863
48,150.54425979253486
49,142.99037248440925
50,145.92776152861188
