epoch,fid
1,200.5983931
2,164.1282287
3,160.3942748
4,172.7543727
5,159.7390681
6,151.4763391
7,158.2691836
8,152.8079468
9,152.3742335
10,148.5382555
11,160.3942748
12,152.3742335
13,148.5382555
14,160.3942748
15,172.7543727
16,159.7390681
17,151.4763391
18,158.2691836
19,152.8079468
20,152.3742335
21,148.5382555
22,146.2472247
25,203.0394157
29,159.5726812
30,170.4683929
31,150.9502845
32,184.346315
33,169.0687852
34,159.8806284
35,152.8740952
39,156.0300469
40,168.336185
41,178.8834003
42,179.0631991
43,173.7525509
44,157.740186
45,155.5845128
46,167.6715353
47,178.0098743
48,161.0402944
49,173.1477904
50,171.4610065
