epoch,fid
1,166.00517234503
2,166.71760486619652
3,176.30627902172878
4,188.40610661175077
5,176.90175853465192
6,163.24909982797845
7,164.96272854627773
8,169.28808285654225
9,240.59666906312316
10,180.15620505273418
11,165.27912621990694
12,163.11526201759546
13,165.0957865740926
14,171.7502882722629
15,173.55544104683125
16,174.09907080247464
17,189.987135349205
18,171.73450825910868
19,164.90040596872467
20,163.22678590394082
21,166.36325172321298
22,174.6869224607421
23,165.38648544718487
24,165.3539401573226
25,163.96992749101688
26,161.30738492165295
27,179.4760132035324
28,170.37666314482766
29,174.16197799345062
30,166.36345937980298
31,162.49961131602214
32,162.38054408095164
33,171.57713159500383
34,176.79514304374044
35,168.3680331414149
36,171.53845038801185
37,168.5611366623089
38,174.5260957286522
39,174.28863988027828
40,173.86196992249248
41,162.3791483944108
42,168.66851794577974
43,175.1904310567647
44,171.28731357285233
45,170.66369516849005
46,172.18344520188575
47,161.54737209721534
48,161.1509530945189
49,166.7445268924832
50,171.3476953876834
