epoch,G_loss,D_loss,FID,KID,JSD,SSIM,PSNR,LPIPS,kimg_acu,kimg,carpeta
0.000797607,0.783224702,1.800761938,279.6045737,0.802974209,0.129941318,0.109117197,5.896998687,0.794468582,0.032000002,0.032000002,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.100498506,3.280392641,1.237660806,,,,,,,4.032000065,4.032000065,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.200199392,2.327522989,0.836371649,,,,,,,8.031999588,8.031999588,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.299900289,2.501890431,0.900054854,,,,,,,12.03199959,12.03199959,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.399601186,1.880919712,1.076674332,379.0532487,0.969599801,0.160478081,0.20596311,13.53600099,0.755647838,16.03199959,16.03199959,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.499302083,1.857261921,1.091232762,,,,,,,20.03199959,20.03199959,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.599002981,1.841597608,1.1017767,,,,,,,24.03199959,24.03199959,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.698703878,1.936815029,1.054210221,,,,,,,28.03199959,28.03199959,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.798404823,1.895712355,1.045725194,200.4778314,0.711356944,0.128228087,0.17191805,14.5098104,0.666587174,32.0320015,32.0320015,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.89810572,1.385495079,1.149232554,,,,,,,36.0320015,36.0320015,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.997806618,1.39935968,1.17628835,,,,,,,40.0320015,40.0320015,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.097507515,1.145296597,1.237615406,,,,,,,44.0320015,44.0320015,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.197208412,1.170458825,1.252715014,193.0616685,0.411606234,0.033376595,0.204575329,14.02013099,0.480504751,48.0320015,48.0320015,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.296909309,1.011652973,1.277805696,,,,,,,52.0320015,52.0320015,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.396610207,1.037485626,1.284961707,,,,,,,56.0320015,56.0320015,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.496311104,1.517626164,1.148977813,,,,,,,60.0320015,60.0320015,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.596011906,0.931896427,1.268246367,151.7236949,0.264210243,0.035922996,0.229962088,13.65251106,0.430975348,64.03199768,64.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.695712804,0.923348243,1.28576438,,,,,,,68.03199768,68.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.795413701,0.939846235,1.304673648,,,,,,,72.03199768,72.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.895114598,0.836700233,1.347159066,,,,,,,76.03199768,76.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.994815496,0.919052612,1.316981458,97.6067799,0.164848598,0.030061346,0.260274922,13.24668622,0.408594131,80.03199768,80.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.094516393,0.953767136,1.292429781,,,,,,,84.03199768,84.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.19421729,0.810096521,1.351598048,,,,,,,88.03199768,88.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.293918187,1.011528697,1.295750319,,,,,,,92.03199768,92.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.393619085,1.066299773,1.209527771,114.9255756,0.153460471,0.029195274,0.288290654,13.17620253,0.410021603,96.03199768,96.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.493319982,1.01811295,1.217094379,,,,,,,100.0319977,100.0319977,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.593020879,0.816358289,1.345588384,,,,,,,104.0319977,104.0319977,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.692721777,0.904893,1.290258195,,,,,,,108.0319977,108.0319977,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.792422674,0.942743255,1.253240434,120.2919837,0.108205186,0.022802431,0.304614691,13.02134555,0.401652485,112.0319977,112.0319977,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.892123571,0.805032134,1.340211254,,,,,,,116.0319977,116.0319977,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.991824469,0.900656284,1.279901311,,,,,,,120.0319977,120.0319977,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
