epoch,G_loss,D_loss,kimg_acu,kimg,run_id,,,,,,,,
3.988833442,0.706988939,1.38166659,160.0319977,36.01599884,00001-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
4.088534339,0.707000562,1.382772341,164.0319977,40.01599884,00001-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
4.188235236,0.706841429,1.381688686,168.0319977,44.01599884,00001-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
4.287936134,0.706935585,1.381267245,172.0319977,48.01599884,00001-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
4.387637031,0.705707816,1.381453403,176.0319977,52.01599884,00001-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
4.487337928,0.703969486,1.382316311,180.0319977,56.01599884,00001-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
4.587038826,0.706487729,1.382674338,184.0319977,60.01599884,00001-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
4.686739723,0.70513364,1.381340721,188.0319977,64.01599884,00001-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
4.78644062,0.704492253,1.38159243,192.0319977,68.01599884,00001-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
4.886141517,0.704321552,1.381871889,196.0319977,72.01599884,00001-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
4.985842415,0.703897716,1.382180313,200.0319977,76.01599884,00001-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
5.085543312,0.703786135,1.38193836,204.0319977,80.01599884,00001-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
5.185244209,0.704084819,1.38222336,208.0319977,84.01599884,00001-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
5.284945107,0.704644509,1.381634459,212.0319977,88.01599884,00001-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
5.384646004,0.702796384,1.382125361,216.0319977,92.01599884,00001-frames_extraidos-11gb-gpu-gamma32-batch16-ada-target0.6-resumecustom,,,,,,,,
