epoch,G_loss,D_loss,FID,KID,JSD,SSIM,PSNR,LPIPS,kimg_acu,kimg,carpeta
3.391425667,0.759488563,1.364959502,,,,,,,136.0639977,4.032000065,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
3.491126552,0.766237401,1.355887492,,,,,,,140.0639973,8.031999588,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
3.590827449,0.742967114,1.368714338,,,,,,,144.0639973,12.03199959,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
3.690528347,0.74894375,1.367928533,79.64543001,0.060502995,0.036652511,0.340974955,12.97121412,0.399163306,148.0639973,16.03199959,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
3.790229244,0.725503065,1.378335926,,,,,,,152.0639973,20.03199959,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
3.889930141,0.725451356,1.380609553,,,,,,,156.0639973,24.03199959,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
3.989631039,0.736864344,1.376290462,,,,,,,160.0639973,28.03199959,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
4.089331983,0.720473046,1.380017975,58.85033571,0.041618521,0.031772747,0.347442421,12.88079896,0.396548629,164.0639992,32.0320015,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
4.189032881,0.716543633,1.381938963,,,,,,,168.0639992,36.0320015,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
4.288733778,0.723297139,1.378357249,,,,,,,172.0639992,40.0320015,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
4.388434675,0.720928171,1.37897597,,,,,,,176.0639992,44.0320015,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
4.488135573,0.716165725,1.38176662,51.04155903,0.040976155,0.034250115,0.353118705,12.85658832,0.39608568,180.0639992,48.0320015,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
4.58783647,0.715128047,1.382982288,,,,,,,184.0639992,52.0320015,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
4.687537367,0.71768788,1.382301702,,,,,,,188.0639992,56.0320015,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
4.787238265,0.71422911,1.384168001,,,,,,,192.0639992,60.0320015,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
4.886939067,0.714539999,1.382968069,47.63992126,0.036635492,0.034463614,0.358587929,12.86994938,0.395103812,196.0639954,64.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
4.986639964,0.718335177,1.380818645,,,,,,,200.0639954,68.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
5.086340861,0.715524964,1.381173646,,,,,,,204.0639954,72.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
5.186041759,0.715901231,1.380847781,,,,,,,208.0639954,76.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
5.285742656,0.714740883,1.380325609,43.7135037,0.043969712,0.032006016,0.351463418,12.85585305,0.396888942,212.0639954,80.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
5.385443553,1.530487744,1.398596236,,,,,,,216.0639954,84.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
5.485144451,0.721942979,1.368448687,,,,,,,220.0639954,88.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
5.584845348,0.718109142,1.37507027,,,,,,,224.0639954,92.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
5.684546245,0.715797001,1.373670794,55.11137454,0.051638824,0.02911281,0.203903001,13.39910415,0.399724007,228.0639954,96.03199768,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
5.784247143,0.718734793,1.3754958,,,,,,,232.0639954,100.0319977,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
5.88394804,0.719717242,1.376262162,,,,,,,236.0639954,104.0319977,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
5.983648937,0.716200888,1.377463989,,,,,,,240.0639954,108.0319977,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
6.083349835,0.715108346,1.379765778,49.1571248,0.041040351,0.034136296,0.302317697,13.04246034,0.399618745,244.0639954,112.0319977,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
6.183050732,0.714185567,1.379677704,,,,,,,248.0639954,116.0319977,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
6.282751629,0.716677698,1.379157428,,,,,,,252.0639954,120.0319977,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
6.382452526,0.729341755,1.377496244,,,,,,,256.0639954,124.0319977,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
6.482153424,0.72016758,1.376848439,48.80626983,0.052497875,0.028498601,0.330636338,12.94998525,0.399917096,260.0639954,128.0319977,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
6.581854321,0.715735281,1.377713449,,,,,,,264.0639954,132.0319977,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
6.681555218,0.712768859,1.379292839,,,,,,,268.0639954,136.0319977,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
6.781256116,0.726059865,1.37869166,,,,,,,272.0639954,140.0319977,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
6.880957013,0.751086775,1.370270514,44.36610132,0.05670084,0.02019373,0.33870665,13.2302117,0.399717331,276.0639954,144.0319977,00001-frames_extraidos-11gb-gpu-gamma32-batch32-noaug-resumecustom
