epoch,G_loss,D_loss,kimg_acu,kimg,run_id
0.000797607,0.783224702,1.800761938,0.032000002,0.032000002,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.100498506,3.280392641,1.237660806,4.032000065,4.032000065,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.200199392,2.327522989,0.836371649,8.031999588,8.031999588,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.299900289,2.501890431,0.900054854,12.03199959,12.03199959,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.399601186,1.880919712,1.076674332,16.03199959,16.03199959,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.499302083,1.857261921,1.091232762,20.03199959,20.03199959,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.599002981,1.841597608,1.1017767,24.03199959,24.03199959,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.698703878,1.936815029,1.054210221,28.03199959,28.03199959,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.798404823,1.895712355,1.045725194,32.0320015,32.0320015,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.89810572,1.385495079,1.149232554,36.0320015,36.0320015,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
0.997806618,1.39935968,1.17628835,40.0320015,40.0320015,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.097507515,1.145296597,1.237615406,44.0320015,44.0320015,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.197208412,1.170458825,1.252715014,48.0320015,48.0320015,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.296909309,1.011652973,1.277805696,52.0320015,52.0320015,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.396610207,1.037485626,1.284961707,56.0320015,56.0320015,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.496311104,1.517626164,1.148977813,60.0320015,60.0320015,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.596011906,0.931896427,1.268246367,64.03199768,64.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.695712804,0.923348243,1.28576438,68.03199768,68.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.795413701,0.939846235,1.304673648,72.03199768,72.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.895114598,0.836700233,1.347159066,76.03199768,76.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
1.994815496,0.919052612,1.316981458,80.03199768,80.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.094516393,0.953767136,1.292429781,84.03199768,84.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.19421729,0.810096521,1.351598048,88.03199768,88.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.293918187,1.011528697,1.295750319,92.03199768,92.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.393619085,1.066299773,1.209527771,96.03199768,96.03199768,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.493319982,1.01811295,1.217094379,100.0319977,100.0319977,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.593020879,0.816358289,1.345588384,104.0319977,104.0319977,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.692721777,0.904893,1.290258195,108.0319977,108.0319977,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.792422674,0.942743255,1.253240434,112.0319977,112.0319977,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.892123571,0.805032134,1.340211254,116.0319977,116.0319977,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
2.991824469,0.900656284,1.279901311,120.0319977,120.0319977,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
3.091525366,0.825116073,1.344912723,124.0319977,124.0319977,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
3.191226263,0.806026136,1.346895205,128.0319977,128.0319977,00000-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6
3.19202387,0.945684195,1.387907505,128.0639977,0.032000002,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
3.291724769,0.814322897,1.351508383,132.0639977,4.032000065,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
3.391425655,0.876491532,1.311849021,136.0639973,8.031999588,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
3.491126552,0.777961208,1.356943719,140.0639973,12.03199959,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
3.590827449,0.811605138,1.348199602,144.0639973,16.03199959,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
3.690528347,0.771354625,1.364174021,148.0639973,20.03199959,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
3.790229244,0.761152245,1.369727171,152.0639973,24.03199959,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
3.889930141,0.773150959,1.36468249,156.0639973,28.03199959,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
3.989631086,0.772364694,1.362914118,160.0639992,32.0320015,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
4.089331983,0.766982394,1.366813824,164.0639992,36.0320015,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
4.189032881,0.767267896,1.363977502,168.0639992,40.0320015,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
4.288733778,0.755246215,1.372196873,172.0639992,44.0320015,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
4.388434675,0.755836264,1.371907915,176.0639992,48.0320015,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
4.488135573,0.752625669,1.370295406,180.0639992,52.0320015,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
4.58783647,0.756361895,1.371636627,184.0639992,56.0320015,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
4.687537367,0.754120761,1.372408032,188.0639992,60.0320015,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
4.78723817,0.747119432,1.372267524,192.0639954,64.03199768,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
4.886939067,0.750213948,1.37414209,196.0639954,68.03199768,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
4.986639964,0.748279548,1.372129251,200.0639954,72.03199768,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
5.086340861,0.751717771,1.373601201,204.0639954,76.03199768,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
5.186041759,0.742519936,1.373163606,208.0639954,80.03199768,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
5.285742656,0.741772084,1.3735075,212.0639954,84.03199768,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
5.385443553,0.740541154,1.373552129,216.0639954,88.03199768,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
5.485144451,0.738261289,1.374110092,220.0639954,92.03199768,00001-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
5.485942058,0.802927256,1.374247074,220.0959954,0.032000002,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
5.585642957,0.747130708,1.372338136,224.0959954,4.032000065,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
5.685343842,0.745036008,1.370746233,228.0959949,8.031999588,00002-frames_extraidos-11gb-gpu-gamma8-batch32-ada-target0.6-resumecustom
