epoch,loss_G,loss_D,FID,KID,JSD,SSIM,PSNR,LPIPS
1,0.87265408,-0.627962589,,,,,,
2,0.468334019,-0.236358285,,,,,,
3,0.82970804,-0.698500514,,,,,,
4,0.772280812,-0.453521043,,,,,,
5,0.904901683,-0.579452157,122.4511545,,0.498391321,0.375038539,13.20640985,0.338177532
6,0.491592616,-0.441170752,,,,,,
7,0.580877721,-0.394415379,,,,,,
8,1.122415781,-0.855754495,,,,,,
9,0.877916753,-0.662048697,,,,,,
10,0.729047537,-0.52903527,109.7263356,,0.49247293,0.367126595,13.17923369,0.338443696
11,0.451968104,-0.31739524,,,,,,
12,0.89320308,-0.410121679,,,,,,
13,1.141618013,-0.849529505,,,,,,
14,1.018190265,-0.82747376,,,,,,
15,0.935658872,-0.299567223,131.8776579,,0.493683157,0.359830397,12.77829965,0.333575696
16,0.586134434,-0.453285933,,,,,,
17,0.941055119,-0.136904866,,,,,,
18,1.210467219,-1.069170713,,,,,,
19,0.843089283,-0.43151921,,,,,,
20,1.133353233,-0.466165721,134.4104597,,0.481428581,0.3744135,13.64060021,0.332506448
21,0.699695289,-0.582747161,,,,,,
22,0.748775542,-0.263841778,,,,,,
23,0.310459346,-0.433180213,,,,,,
24,0.959930837,-0.776216865,,,,,,
25,0.62544167,-0.654516101,109.6198964,,0.506629428,0.368989937,13.27362789,0.343323797
26,0.615904629,-0.600094676,,,,,,
27,1.035472393,-0.434470117,,,,,,
28,0.969611764,-1.001753092,,,,,,
29,1.147476792,-0.844790936,,,,,,
30,1.107362747,-0.97473979,102.3214542,,0.474128171,0.380740722,13.46822283,0.332439899
31,0.749955833,-0.453144193,,,,,,
32,1.163895488,-0.714030385,,,,,,
33,1.075412989,-0.90293169,,,,,,
34,0.68981123,-0.431468427,,,,,,
35,0.901484907,-0.65706408,114.3607761,,0.485453772,0.349809071,12.98233119,0.338871747
36,0.856109142,0.005273134,,,,,,
37,1.104727983,-0.75270021,,,,,,
38,0.587474465,-0.228926316,,,,,,
39,0.817460537,-0.658090413,,,,,,
40,0.760886133,-0.354792535,116.1823814,,0.468913297,0.395877122,13.48081727,0.318148673
41,0.732918262,-0.654595912,,,,,,
42,0.555271089,-0.468546927,,,,,,
43,0.820898235,-0.742192745,,,,,,
44,1.065119028,-0.476665497,,,,,,
45,0.913699746,-0.409927636,111.9131847,,0.499227383,0.37404425,13.47246729,0.33387202
46,0.353458971,-0.45851177,,,,,,
47,0.85677129,-0.924780846,,,,,,
48,1.278620005,-1.072480559,,,,,,
49,0.29491806,-1.007201195,,,,,,
50,0.357048333,-0.29021427,124.0542817,,0.514831149,0.377420878,12.56961844,0.351027697
51,0.459475815,-0.891540945,,,,,,
52,1.167034984,-0.835105062,,,,,,
53,0.614712536,-0.279061943,,,,,,
54,0.700662434,-0.392314494,,,,,,
55,0.424964815,-0.489933193,112.7315231,,0.480342071,0.391091875,13.40005602,0.317654103
56,0.219516784,-0.373605222,,,,,,
57,1.001408577,-0.973549783,,,,,,
58,0.774928212,-0.320616961,,,,,,
59,0.900084138,-0.33189404,,,,,,
60,0.972518265,-0.376969367,104.6132995,,0.479135061,0.38665421,13.9803479,0.326298207
61,0.840038002,-1.020290375,,,,,,
62,0.92338866,-0.856802225,,,,,,
63,0.91689378,-0.344684422,,,,,,
64,1.090830088,-0.679690003,,,,,,
65,0.652510464,-0.42486015,107.7434741,,0.484020112,0.377351669,13.46224157,0.328895241
