epoch,fid
1,173.9848152
2,187.9339935
3,174.9216546
4,181.9127564
5,176.1810527
6,199.4696237
7,162.8313584
8,198.7799973
9,164.2621145
10,181.6807118
11,175.6095587
12,170.3376619
13,169.7681133
14,156.5988603
15,186.7389572
16,175.8100394
17,167.45599
18,153.4671594
19,170.3187484
20,151.5046876
21,157.3008678
22,157.9813346
23,151.1984717
24,157.5162592
25,171.0340444
26,155.715875
27,167.4186142
28,170.8984059
29,153.3051494
30,159.7600298
31,151.4638198
32,149.7412091
33,145.8343489
34,157.6503247
35,164.8536875
36,152.6091217
37,153.5827926
38,163.4240987
39,155.1202345
40,172.3520958
41,168.1404962
42,157.5331938
43,166.3277299
44,171.9887948
45,173.6981801
46,169.6588235
47,174.6908313
48,159.2658668
49,157.9519936
50,164.5644555
