epoch,rec_loss,perceptual_loss,q_loss,g_loss,gen_loss,disc_loss
1,0.048780052634262494,0.015581265879295403,2.070043047378629,-1.0018532837138456,2.134404365511858,0.0
2,0.03000535346931617,0.005749752711976395,0.049513019474291965,-0.9951462050404024,0.08288868044912517,0.006323718477935639
3,0.04417021349629578,0.00916141414660162,0.058849146593536655,-0.06807065984603859,-0.292020532122608,1.0017333989842225
4,0.031579326649204806,0.005714712705340604,0.01877598281706482,1.0670242160389838,-0.04868679279656496,0.44140770153334796
5,0.02582027369577174,0.003999898332734764,0.011681501061496801,1.9848376819457216,0.10710121026914474,0.029067118521731494
6,0.040440685803800495,0.0067192429750934915,0.015398810794697713,-0.06455305701050243,-0.5470869296071595,1.0018557771609526
7,0.030287556443084868,0.004086418135661784,0.009493456164269094,-0.1314893759019908,-0.9852752610922216,1.000289556404886
8,0.051017279367610906,0.010748302929924416,0.019577672469195725,-0.041068847564602634,-0.39916791316328354,1.005715662571439
9,0.03746349052675859,0.005585740370106037,0.010208603730304123,-0.09951307144785596,-1.0215399007374786,1.0007856846426872
10,0.03453811606638322,0.004704345083329508,0.009520601831799824,-0.07229746394416463,-0.837170338275996,1.000454465181023
11,0.0294482811385336,0.003643353259309484,0.008241804940708895,-0.12394573144014552,-1.0694190632057243,1.0003579685249042
12,0.026186837895705143,0.00311125055450148,0.007747934202100727,-0.1298623943545927,-1.1359799314178094,1.0002281769834749
13,0.0258760579532136,0.003057640351222485,0.007875497758255929,-0.0804845360558919,-0.9211976824922412,1.0001053398884296
14,0.02588099864751998,0.0030571856943305267,0.007615487550529999,-0.09269604522622608,-0.832806654233029,1.0001771254216376
15,0.02543051167175143,0.0031421245971387335,0.007302912125844587,-0.12929513165622675,-1.2674774517713805,1.0001904288030177
16,0.026131136450613098,0.0030872035187699057,0.007664117696621722,-0.12633910341467586,-1.5251825995294506,1.0001476254061752
17,0.03870166064679273,0.006180260429995357,0.010949427789120903,-0.08964114098440394,-1.081306428802537,1.0022815416499593
18,0.02776007761735899,0.0033232918017819055,0.007190708727224998,-0.12163387718081348,-1.5256647319232666,1.0002616739115604
19,0.027007104610475674,0.0031497996430771167,0.007180085178344363,-0.12321932661718785,-1.4320403083741078,1.000226565565615
20,0.03433883555255764,0.004888558675788514,0.00810212828321076,-0.07211701180709652,-0.6183274794990199,1.0019573301997997
21,0.0275560592944666,0.0031278133468474016,0.0068404104866102294,-0.11078937864801192,-1.4176696600229037,1.0002696958638855
22,0.024708287870828974,0.0026572116414792578,0.0067672589448385554,-0.12120275222617438,-1.4526879548489795,1.0001782761613727
23,0.030380885380274752,0.0037921364665224567,0.006868315267479669,-0.046852428521928405,-0.4389694319020285,1.0018326223431413
24,0.025610777837292088,0.0026869444157055404,0.006589219199097971,-0.0858792211208063,-0.9784640780827429,1.0002838683508686
25,0.023380292792166635,0.002312319710338163,0.006279976997368506,-0.10923576190853,-1.168916387962974,1.0002084968691451
26,0.02839560272712502,0.0033899581837927477,0.006101124520122946,-0.08544499537007905,-0.7038334828936091,1.001496062820716
27,0.022968404930630924,0.0022812070369586748,0.005848338951450491,-0.0812354526893313,-0.6697676184315119,1.0002593065900793
28,0.020994107167636708,0.001958435104281483,0.005749075652024934,-0.1102482237679575,-0.9654900322938459,1.0001526042328757
29,0.028790703495167724,0.0032347908598238067,0.007000174752602786,-0.05290563045699486,-0.48578046293760224,1.001322149113192
30,0.02480854547024516,0.0024595358368131896,0.006823667645888962,-0.09467880707690941,-1.143279983338938,1.0002929663016338
31,0.029713982495210938,0.0034219763549054013,0.006712839844221563,-0.043146683605012504,-0.3765842676805267,1.0014014165161376
32,0.02489450432077897,0.0024689689776298414,0.006243752731067887,-0.10358159843321318,-1.2725408374806373,1.0003223014020493
33,0.030702210462476655,0.0034590802343928088,0.007157831797645551,-0.05191543840966601,-0.48985376806812714,1.0011607862065584
34,0.024089277905606082,0.0023752854695006952,0.006918733998769124,-0.0924159003160934,-1.003721367778927,1.000297609188502
35,0.028371435096663827,0.0031190792666906018,0.006823207664276554,-0.028836523934688836,-0.25349487524836184,1.0011768637958576
36,0.023826925131721664,0.002274649962690006,0.006643773486665037,-0.09091584491356786,-0.9585112646327968,1.000301497574461
37,0.02527190072188973,0.0025208596207929456,0.006005720286662593,-0.0789907956980621,-0.6311298521972843,1.0011725359519243
38,0.022906691643222794,0.0021662914293520117,0.006100831391774526,-0.0938511626542657,-0.8553499434371725,1.000309426941401
39,0.01891961292190067,0.00164768020051382,0.005231553394159865,-0.02445832528461407,-0.17784323450512182,0.9999319211435936
40,0.0256209559662496,0.002483154486415393,0.0066487285581994,-0.06090139613141868,-0.5010174883096845,1.0011113798867908
41,0.02207947767034158,0.002459013399390405,0.006838739114040035,-0.0732294513868393,-0.6871993496651916,1.0002258317064074
42,0.024889531129913576,0.002393961198356816,0.006152446529524381,-0.027348025156317596,-0.1932702602861321,1.0010552700946955
43,0.022096874890802566,0.001964579930144584,0.005970394847114178,-0.08134624429525392,-0.83735793281016,1.0003076636303934
44,0.025780450136345976,0.0024605213731326765,0.00619832030311784,-0.04648816209543293,-0.3740225259040075,1.0010550013448996
45,0.021514895965984965,0.0018501503819252476,0.006259317802504849,-0.07721653115907014,-0.7637381105081124,1.0002830740342943
46,0.020435754172615374,0.001807750640334868,0.006899003097592507,-0.06122937376658392,-0.5180589994278217,1.000256353396837
47,0.024885885567512967,0.002243837705467004,0.0059038442463436695,-0.030216295368230204,-0.2713622656206072,1.0009397095245711
48,0.02273645629532494,0.00207550422541968,0.005698669146735255,-0.101694743106272,-1.341598977957103,1.0002566420782362
49,0.02531220166018216,0.002334874107921171,0.00565915546846109,-0.02777423542747992,-0.26246375737624505,1.0010153889656066
50,0.022221593484876758,0.001988176907508347,0.0058094936285580205,-0.09322071649719399,-1.0291839935100922,1.0002861937402134
